?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"negative regulation of cell adhesion molecule production"	<http://purl.obolibrary.org/obo/GO_0060354>	1	2	0.5
"negative regulation of cerebellar granule cell precursor proliferation"	<http://purl.obolibrary.org/obo/GO_0021941>	1	2	0.5
"negative regulation of chorionic trophoblast cell proliferation"	<http://purl.obolibrary.org/obo/GO_1901383>	1	2	0.5
"negative regulation of cytoplasmic translational elongation"	<http://purl.obolibrary.org/obo/GO_1900248>	1	2	0.5
"negative regulation of dendritic cell differentiation"	<http://purl.obolibrary.org/obo/GO_2001199>	3	6	0.5
"negative regulation of dopamine metabolic process"	<http://purl.obolibrary.org/obo/GO_0045963>	2	4	0.5
"negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_1903382>	1	2	0.5
"negative regulation of extracellular matrix disassembly"	<http://purl.obolibrary.org/obo/GO_0010716>	1	2	0.5
"negative regulation of integrin-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_2001045>	1	2	0.5
"negative regulation of lung goblet cell differentiation"	<http://purl.obolibrary.org/obo/GO_1901250>	1	2	0.5
"negative regulation of macrophage colony-stimulating factor signaling pathway"	<http://purl.obolibrary.org/obo/GO_1902227>	1	2	0.5
"negative regulation of male germ cell proliferation"	<http://purl.obolibrary.org/obo/GO_2000255>	2	4	0.5
"negative regulation of mitotic cell cycle, embryonic"	<http://purl.obolibrary.org/obo/GO_0045976>	1	2	0.5
"negative regulation of mucus secretion"	<http://purl.obolibrary.org/obo/GO_0070256>	1	2	0.5
"negative regulation of neutrophil degranulation"	<http://purl.obolibrary.org/obo/GO_0043314>	1	2	0.5
"negative regulation of nodal signaling pathway"	<http://purl.obolibrary.org/obo/GO_1900108>	2	4	0.5
"negative regulation of pancreatic stellate cell proliferation"	<http://purl.obolibrary.org/obo/GO_2000230>	1	2	0.5
"negative regulation of peroxidase activity"	<http://purl.obolibrary.org/obo/GO_2000469>	1	2	0.5
"negative regulation of phagocytosis, engulfment"	<http://purl.obolibrary.org/obo/GO_0060101>	1	2	0.5
"negative regulation of presynaptic membrane organization"	<http://purl.obolibrary.org/obo/GO_1901630>	1	2	0.5
"negative regulation of primary amine oxidase activity"	<http://purl.obolibrary.org/obo/GO_1902283>	1	2	0.5
"negative regulation of protein glycosylation in Golgi"	<http://purl.obolibrary.org/obo/GO_0090285>	1	2	0.5
"negative regulation of relaxation of cardiac muscle"	<http://purl.obolibrary.org/obo/GO_1901898>	1	2	0.5
"negative regulation of retinal cell programmed cell death"	<http://purl.obolibrary.org/obo/GO_0046671>	1	2	0.5
"negative regulation of root hair elongation"	<http://purl.obolibrary.org/obo/GO_1902891>	1	2	0.5
"negative regulation of secretion of lysosomal enzymes"	<http://purl.obolibrary.org/obo/GO_0090341>	1	2	0.5
"negative regulation of transforming growth factor-beta secretion"	<http://purl.obolibrary.org/obo/GO_2001202>	1	2	0.5
"negative regulation of vascular wound healing"	<http://purl.obolibrary.org/obo/GO_0061044>	1	2	0.5
"nor-spermidine metabolic process"	<http://purl.obolibrary.org/obo/GO_0046204>	1	2	0.5
"orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060488>	1	2	0.5
"osteoclast fusion"	<http://purl.obolibrary.org/obo/GO_0072675>	3	6	0.5
"pancreas morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061113>	2	4	0.5
"pantothenate metabolic process"	<http://purl.obolibrary.org/obo/GO_0015939>	1	2	0.5
"pentose biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019322>	1	2	0.5
"peptide antigen assembly with MHC class II protein complex"	<http://purl.obolibrary.org/obo/GO_0002503>	1	2	0.5
"phosphatidylethanolamine catabolic process"	<http://purl.obolibrary.org/obo/GO_0046338>	1	2	0.5
"phospholipase D-activating G protein-coupled receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0031583>	1	2	0.5
"phospholipid transfer to membrane"	<http://purl.obolibrary.org/obo/GO_0006649>	1	2	0.5
"planar cell polarity pathway involved in gastrula mediolateral intercalation"	<http://purl.obolibrary.org/obo/GO_0060775>	1	2	0.5
"planar cell polarity pathway involved in heart morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061346>	1	2	0.5
"planar dichotomous subdivision of terminal units involved in lung branching morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060489>	1	2	0.5
"positive regulation of B cell tolerance induction"	<http://purl.obolibrary.org/obo/GO_0002663>	1	2	0.5
"positive regulation of CD8-positive, alpha-beta T cell extravasation"	<http://purl.obolibrary.org/obo/GO_2000451>	1	2	0.5
"positive regulation of acetylcholine secretion, neurotransmission"	<http://purl.obolibrary.org/obo/GO_0014057>	2	4	0.5
"positive regulation of activation of membrane attack complex"	<http://purl.obolibrary.org/obo/GO_0001970>	1	2	0.5
"positive regulation of antigen processing and presentation of peptide antigen via MHC class II"	<http://purl.obolibrary.org/obo/GO_0002588>	1	2	0.5
"positive regulation of astrocyte chemotaxis"	<http://purl.obolibrary.org/obo/GO_2000464>	1	2	0.5
"positive regulation of chronic inflammatory response to antigenic stimulus"	<http://purl.obolibrary.org/obo/GO_0002876>	1	2	0.5
"positive regulation of dipeptide transmembrane transport"	<http://purl.obolibrary.org/obo/GO_2001150>	1	2	0.5
"positive regulation of eosinophil migration"	<http://purl.obolibrary.org/obo/GO_2000418>	2	4	0.5
"positive regulation of ephrin receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_1901189>	1	2	0.5
"positive regulation of hematopoietic stem cell migration"	<http://purl.obolibrary.org/obo/GO_2000473>	1	2	0.5
"positive regulation of immune complex clearance by monocytes and macrophages"	<http://purl.obolibrary.org/obo/GO_0090265>	1	2	0.5
"positive regulation of interferon-beta biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045359>	4	8	0.5
"positive regulation of interleukin-4 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045404>	2	4	0.5
"positive regulation of leukotriene production involved in inflammatory response"	<http://purl.obolibrary.org/obo/GO_0035491>	1	2	0.5
"positive regulation of lipid transport across blood-brain barrier"	<http://purl.obolibrary.org/obo/GO_1903002>	1	2	0.5
"positive regulation of male germ cell proliferation"	<http://purl.obolibrary.org/obo/GO_2000256>	1	2	0.5
"positive regulation of microtubule plus-end binding"	<http://purl.obolibrary.org/obo/GO_1903033>	1	2	0.5
"positive regulation of muscle hyperplasia"	<http://purl.obolibrary.org/obo/GO_0014739>	1	2	0.5
"positive regulation of myeloid dendritic cell activation"	<http://purl.obolibrary.org/obo/GO_0030887>	1	2	0.5
"positive regulation of necroptotic process"	<http://purl.obolibrary.org/obo/GO_0060545>	1	2	0.5
"positive regulation of neurotrophin production"	<http://purl.obolibrary.org/obo/GO_0032901>	1	2	0.5
"positive regulation of non-membrane spanning protein tyrosine kinase activity"	<http://purl.obolibrary.org/obo/GO_1903997>	1	2	0.5
"positive regulation of ovulation"	<http://purl.obolibrary.org/obo/GO_0060279>	2	4	0.5
"positive regulation of phospholipid catabolic process"	<http://purl.obolibrary.org/obo/GO_0060697>	1	2	0.5
"positive regulation of protein linear polyubiquitination"	<http://purl.obolibrary.org/obo/GO_1902530>	1	2	0.5
"positive regulation of satellite cell activation involved in skeletal muscle regeneration"	<http://purl.obolibrary.org/obo/GO_0014718>	1	2	0.5
"positive regulation of transforming growth factor beta2 production"	<http://purl.obolibrary.org/obo/GO_0032915>	1	2	0.5
"positive regulation of tumor necrosis factor (ligand) superfamily member 11 production"	<http://purl.obolibrary.org/obo/GO_2000309>	1	2	0.5
"positive regulation of type B pancreatic cell development"	<http://purl.obolibrary.org/obo/GO_2000078>	1	2	0.5
"pro-T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002572>	1	2	0.5
"proepicardium development"	<http://purl.obolibrary.org/obo/GO_0003342>	1	2	0.5
"protein biotinylation"	<http://purl.obolibrary.org/obo/GO_0009305>	1	2	0.5
"pseudopodium assembly"	<http://purl.obolibrary.org/obo/GO_0031269>	1	2	0.5
"putrescine acetylation"	<http://purl.obolibrary.org/obo/GO_0032920>	1	2	0.5
"regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation"	<http://purl.obolibrary.org/obo/GO_2000452>	1	2	0.5
"regulation of cell adhesion involved in heart morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061344>	1	2	0.5
"regulation of chromatin disassembly"	<http://purl.obolibrary.org/obo/GO_0010848>	1	2	0.5
"regulation of endocannabinoid signaling pathway"	<http://purl.obolibrary.org/obo/GO_2000124>	1	2	0.5
"regulation of lung goblet cell differentiation"	<http://purl.obolibrary.org/obo/GO_1901249>	1	2	0.5
"regulation of neuronal signal transduction"	<http://purl.obolibrary.org/obo/GO_1902847>	1	2	0.5
"regulation of peroxisome size"	<http://purl.obolibrary.org/obo/GO_0044375>	2	4	0.5
"regulation of skeletal muscle contraction via regulation of action potential"	<http://purl.obolibrary.org/obo/GO_0014861>	1	2	0.5
"regulation of sphingolipid mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_1902068>	1	2	0.5
"regulation of systemic arterial blood pressure by atrial natriuretic peptide"	<http://purl.obolibrary.org/obo/GO_0003050>	1	2	0.5
"regulation of tolerance induction to self antigen"	<http://purl.obolibrary.org/obo/GO_0002649>	1	2	0.5
"renal outer medulla development"	<http://purl.obolibrary.org/obo/GO_0072054>	1	2	0.5
"renal water absorption"	<http://purl.obolibrary.org/obo/GO_0070295>	3	6	0.5
"selenium compound metabolic process"	<http://purl.obolibrary.org/obo/GO_0001887>	2	4	0.5
"sequestering of calcium ion"	<http://purl.obolibrary.org/obo/GO_0051208>	1	2	0.5
"smooth muscle cell-matrix adhesion"	<http://purl.obolibrary.org/obo/GO_0061302>	1	2	0.5
"spermine acetylation"	<http://purl.obolibrary.org/obo/GO_0032919>	1	2	0.5
"stimulatory C-type lectin receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0002223>	1	2	0.5
"substantia nigra development"	<http://purl.obolibrary.org/obo/GO_0021762>	1	2	0.5
"threonine transport"	<http://purl.obolibrary.org/obo/GO_0015826>	1	2	0.5
"toll-like receptor 8 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034158>	1	2	0.5
"transepithelial water transport"	<http://purl.obolibrary.org/obo/GO_0035377>	1	2	0.5
"transforming growth factor beta receptor complex assembly"	<http://purl.obolibrary.org/obo/GO_0007181>	2	4	0.5
"L-alanine transport"	<http://purl.obolibrary.org/obo/GO_0015808>	4	9	0.444444444444444444444444
"embryonic neurocranium morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048702>	4	9	0.444444444444444444444444
"germinal center formation"	<http://purl.obolibrary.org/obo/GO_0002467>	3	7	0.428571428571428571428571
"protein repair"	<http://purl.obolibrary.org/obo/GO_0030091>	3	7	0.428571428571428571428571
"sulfate assimilation"	<http://purl.obolibrary.org/obo/GO_0000103>	3	7	0.428571428571428571428571
"positive regulation of macrophage cytokine production"	<http://purl.obolibrary.org/obo/GO_0060907>	5	12	0.416666666666666666666666
"L-serine catabolic process"	<http://purl.obolibrary.org/obo/GO_0006565>	2	5	0.4
"L-serine transport"	<http://purl.obolibrary.org/obo/GO_0015825>	2	5	0.4
"central nervous system myelin maintenance"	<http://purl.obolibrary.org/obo/GO_0032286>	2	5	0.4
"central nervous system vasculogenesis"	<http://purl.obolibrary.org/obo/GO_0022009>	2	5	0.4
"connective tissue replacement involved in inflammatory response wound healing"	<http://purl.obolibrary.org/obo/GO_0002248>	2	5	0.4
"erythropoietin-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038162>	2	5	0.4
"extracellular matrix-cell signaling"	<http://purl.obolibrary.org/obo/GO_0035426>	2	5	0.4
"negative regulation of activation-induced cell death of T cells"	<http://purl.obolibrary.org/obo/GO_0070236>	2	5	0.4
"negative regulation of cholesterol efflux"	<http://purl.obolibrary.org/obo/GO_0090370>	2	5	0.4
"negative regulation of fibroblast growth factor production"	<http://purl.obolibrary.org/obo/GO_0090272>	2	5	0.4
"negative regulation of serotonin secretion"	<http://purl.obolibrary.org/obo/GO_0014063>	2	5	0.4
"negative regulation of very-low-density lipoprotein particle clearance"	<http://purl.obolibrary.org/obo/GO_0010916>	2	5	0.4
"platelet dense granule organization"	<http://purl.obolibrary.org/obo/GO_0060155>	2	5	0.4
"positive regulation of cholesterol biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045542>	4	10	0.4
"positive regulation of sodium:proton antiporter activity"	<http://purl.obolibrary.org/obo/GO_0032417>	2	5	0.4
"pro-B cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002328>	2	5	0.4
"protein localization to adherens junction"	<http://purl.obolibrary.org/obo/GO_0071896>	2	5	0.4
"brown fat cell differentiation"	<http://purl.obolibrary.org/obo/GO_0050873>	15	39	0.384615384615384615384615
"positive regulation of macrophage derived foam cell differentiation"	<http://purl.obolibrary.org/obo/GO_0010744>	5	13	0.384615384615384615384615
"activated T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0050798>	3	8	0.375
"hepatocyte proliferation"	<http://purl.obolibrary.org/obo/GO_0072574>	3	8	0.375
"negative regulation of lipoprotein lipase activity"	<http://purl.obolibrary.org/obo/GO_0051005>	3	8	0.375
"positive regulation of epithelial cell proliferation involved in wound healing"	<http://purl.obolibrary.org/obo/GO_0060054>	3	8	0.375
"positive regulation of long-term neuronal synaptic plasticity"	<http://purl.obolibrary.org/obo/GO_0048170>	3	8	0.375
"positive regulation of sequestering of triglyceride"	<http://purl.obolibrary.org/obo/GO_0010890>	3	8	0.375
"relaxation of vascular smooth muscle"	<http://purl.obolibrary.org/obo/GO_0060087>	3	8	0.375
"very-low-density lipoprotein particle assembly"	<http://purl.obolibrary.org/obo/GO_0034379>	3	8	0.375
"negative regulation of endothelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045602>	4	11	0.363636363636363636363636
"positive regulation of defense response to virus by host"	<http://purl.obolibrary.org/obo/GO_0002230>	15	43	0.348837209302325581395348
"'de novo' actin filament nucleation"	<http://purl.obolibrary.org/obo/GO_0070060>	1	3	0.333333333333333333333333
"B cell affinity maturation"	<http://purl.obolibrary.org/obo/GO_0002344>	1	3	0.333333333333333333333333
"B cell proliferation involved in immune response"	<http://purl.obolibrary.org/obo/GO_0002322>	2	6	0.333333333333333333333333
"COP9 signalosome assembly"	<http://purl.obolibrary.org/obo/GO_0010387>	1	3	0.333333333333333333333333
"Golgi calcium ion transport"	<http://purl.obolibrary.org/obo/GO_0032472>	1	3	0.333333333333333333333333
"N-acetylneuraminate catabolic process"	<http://purl.obolibrary.org/obo/GO_0019262>	2	6	0.333333333333333333333333
"PMA-inducible membrane protein ectodomain proteolysis"	<http://purl.obolibrary.org/obo/GO_0051088>	1	3	0.333333333333333333333333
"Schwann cell proliferation"	<http://purl.obolibrary.org/obo/GO_0014010>	1	3	0.333333333333333333333333
"acetate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019413>	1	3	0.333333333333333333333333
"adenosine catabolic process"	<http://purl.obolibrary.org/obo/GO_0006154>	1	3	0.333333333333333333333333
"anterior/posterior axon guidance"	<http://purl.obolibrary.org/obo/GO_0033564>	2	6	0.333333333333333333333333
"asymmetric Golgi ribbon formation"	<http://purl.obolibrary.org/obo/GO_0090164>	1	3	0.333333333333333333333333
"axial mesoderm formation"	<http://purl.obolibrary.org/obo/GO_0048320>	1	3	0.333333333333333333333333
"calcitriol biosynthetic process from calciol"	<http://purl.obolibrary.org/obo/GO_0036378>	1	3	0.333333333333333333333333
"calcium-independent cell-matrix adhesion"	<http://purl.obolibrary.org/obo/GO_0007161>	1	3	0.333333333333333333333333
"carotene catabolic process"	<http://purl.obolibrary.org/obo/GO_0016121>	1	3	0.333333333333333333333333
"carotene metabolic process"	<http://purl.obolibrary.org/obo/GO_0016119>	1	3	0.333333333333333333333333
"carotenoid metabolic process"	<http://purl.obolibrary.org/obo/GO_0016116>	1	3	0.333333333333333333333333
"cell communication by chemical coupling"	<http://purl.obolibrary.org/obo/GO_0010643>	1	3	0.333333333333333333333333
"cell migration involved in kidney development"	<http://purl.obolibrary.org/obo/GO_0035787>	1	3	0.333333333333333333333333
"cell-matrix adhesion involved in ameboidal cell migration"	<http://purl.obolibrary.org/obo/GO_0003366>	1	3	0.333333333333333333333333
"cellular response to progesterone stimulus"	<http://purl.obolibrary.org/obo/GO_0071393>	1	3	0.333333333333333333333333
"cerebellar granule cell precursor proliferation"	<http://purl.obolibrary.org/obo/GO_0021930>	2	6	0.333333333333333333333333
"cholesterol storage"	<http://purl.obolibrary.org/obo/GO_0010878>	1	3	0.333333333333333333333333
"chylomicron remnant clearance"	<http://purl.obolibrary.org/obo/GO_0034382>	2	6	0.333333333333333333333333
"corticotropin hormone secreting cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060128>	1	3	0.333333333333333333333333
"cytosol to endoplasmic reticulum transport"	<http://purl.obolibrary.org/obo/GO_0046967>	1	3	0.333333333333333333333333
"dATP catabolic process"	<http://purl.obolibrary.org/obo/GO_0046061>	1	3	0.333333333333333333333333
"dendritic spine maintenance"	<http://purl.obolibrary.org/obo/GO_0097062>	3	9	0.333333333333333333333333
"desensitization of G protein-coupled receptor signaling pathway by arrestin"	<http://purl.obolibrary.org/obo/GO_0002032>	1	3	0.333333333333333333333333
"desmosome assembly"	<http://purl.obolibrary.org/obo/GO_0002159>	2	6	0.333333333333333333333333
"detection of lipopolysaccharide"	<http://purl.obolibrary.org/obo/GO_0032497>	2	6	0.333333333333333333333333
"detection of peptidoglycan"	<http://purl.obolibrary.org/obo/GO_0032499>	1	3	0.333333333333333333333333
